主管機關,公告日期,處分日期,處分字號,事業單位名稱或負責人,違法法規法條,違反法規內容,備註說明
職業安全衛生署,20190308,20181229,勞職授字第1070205942號,琿宏工程企業有限公司,職業安全衛生設施規則第228條暨職業安全衛生法第6條第1項,"對於機房所設置鋼管施工架（高差超過1.5公尺）之樓梯未設置安全扶手,勞工有遭受墜落危險之虞。",
高雄市,20190325,20181229,高市勞檢字第10771998500號,禾興企業有限公司,職業安全衛生法第6條第1項第5款,對於從事管件安裝及焊接作業，未防止有墜?之虞之作業場所引起之危害，致發生死亡災害。,
台北市,20190308,20181228,北市勞職字第10760987841號,上毅國際室內裝修工程股份有限公司,1.營造安全衛生設施標準第11-1條暨職業安全衛生法第6條第1項第1、3、5款;2.職業安全衛生設施規則第225條第1項暨職業安全衛生法第6條第1項第5款,1.未提供安全帽使正確戴用。;2公尺以上作業未設置工作台。,
桃園市,20190201,20181228,府勞檢字第1070325167號,杏隆實業股份有限公司( 劉睦雄),職業安全衛生設施規則第73條第1項暨職業安全衛生法第6條第1項;職業安全衛生設施規則第83條暨職業安全衛生法第6條第1項;固定式起重機安全檢查構造標準第40條暨職業安全衛生法第6條第1項,雇主對於離心機械，應裝置覆蓋及連鎖裝置。;雇主對於扇風機之葉片，有危害勞工之虞者，應設護網或護圍等設備。;吊鉤應設置防止吊掛用鋼索等脫落之阻擋裝置。但於特殊環境吊掛特定荷物，實施全程安全分析，報經檢查機構認可者，不在此限。,
台北市,20190308,20181228,北市勞職字第10760548511號,榮工工程股份有限公司,1.職業安全衛生法第26條第1項;2.職業安全衛生法第27條第1項第2、3款,1.未事前告知該承攬人依規定應採取措施。;2.原事業單位未採取承攬管理必要措施。,
台北市,20190308,20181228,北市勞職字第10760987913號,弼泰工程有限公司,營造安全衛生設施標準第11-1條暨職業安全衛生法第6條第1項第1、3、5款,未提供安全帽使正確戴用。,
台北市,20190308,20181228,北市勞職字第10760987911號,富渝營造有限公司,職業安全衛生法第27條第1項第1、2、3款,原事業單位未採取承攬管理必要措施。,
台北市,20190308,20181228,北市勞職字第10761007791號,強鋼營造股份有限公司,職業安全衛生設施規則第41條第5款暨職業安全衛生法第6條第1項第1款,堆高機、研磨機等機具未依規定辦理。,
台北市,20190308,20181228,北市勞職字第10760987851號,潤弘精密工程事業股份有限公司,營造安全衛生設施標準第19條第1項暨職業安全衛生法第6條第1項第5款,有墜落危險之處所未設防護設備。,
台北市,20190308,20181228,北市勞職字第10761007761號,宇力工程有限公司,營造安全衛生設施標準第11-1條暨職業安全衛生法第6條第1項第1、3、5款,未提供安全帽使正確戴用。,
